# WAVE RELTPT CHARGE
4.150000000000000000e+02 6.779113776190694995e-01 3.456770000000000109e-06
4.180000000000000000e+02 6.846906918859154700e-01 2.535360000000000066e-06
4.210000000000000000e+02 6.927272943425668572e-01 2.717790000000000198e-06
4.240000000000000000e+02 7.018534906477409407e-01 2.932149999999999955e-06
4.270000000000000000e+02 7.036566271597595179e-01 2.924629999999999898e-06
4.300000000000000000e+02 7.091515869702291752e-01 4.940900000000000416e-06
4.330000000000000000e+02 7.154067935996757388e-01 2.758570000000000170e-06
4.360000000000000000e+02 7.176429152428096536e-01 2.758389999999999860e-06
4.390000000000000000e+02 7.234948059341982374e-01 3.447640000000000080e-06
4.420000000000000000e+02 7.280810972058667785e-01 3.282260000000000064e-06
4.450000000000000000e+02 7.336835840590117952e-01 3.681439999999999857e-06
4.480000000000000000e+02 7.411658971080484770e-01 3.697829999999999966e-06
4.500000000000000000e+02 7.451724257478145041e-01 3.665649999999999793e-06
4.510000000000000000e+02 7.466944089577406407e-01 3.730539999999999946e-06
4.540000000000000000e+02 7.532077431852327587e-01 2.794509999999999948e-06
4.570000000000000000e+02 7.627441949480040506e-01 3.529890000000000012e-06
4.600000000000000000e+02 7.685790941405611365e-01 3.727940000000000174e-06
4.630000000000000000e+02 7.706667015506731833e-01 3.302330000000000110e-06
4.660000000000000000e+02 7.772374241025995500e-01 3.668160000000000045e-06
4.690000000000000000e+02 7.825412001337058721e-01 3.174600000000000065e-06
4.720000000000000000e+02 7.868390656589553389e-01 2.827120000000000132e-06
4.750000000000000000e+02 7.949915955277788715e-01 3.234390000000000046e-06
4.780000000000000000e+02 8.001536341394576146e-01 3.498300000000000032e-06
4.810000000000000000e+02 8.064944828328575177e-01 3.285590000000000081e-06
4.840000000000000000e+02 8.119868567873865794e-01 2.645280000000000193e-06
4.870000000000000000e+02 8.163451166118494973e-01 3.831959999999999646e-06
4.900000000000000000e+02 8.235130382173460051e-01 3.341169999999999894e-06
4.930000000000000000e+02 8.269790127732465912e-01 2.761609999999999805e-06
4.960000000000000000e+02 8.288346939833022287e-01 5.379389999999999838e-06
4.990000000000000000e+02 8.324951309885447737e-01 3.612160000000000073e-06
5.020000000000000000e+02 8.382500419199777619e-01 2.758939999999999795e-06
5.050000000000000000e+02 8.376331716757864365e-01 4.036160000000000164e-06
5.080000000000000000e+02 8.459441946335565232e-01 3.697919999999999909e-06
5.110000000000000000e+02 8.475709304139700251e-01 2.682079999999999993e-06
